file,start_time,end_time,A NE Pacific,B NE Pacific
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,0.0,30.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,20.0,50.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,40.0,70.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,60.0,90.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,80.0,110.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,100.0,130.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,120.0,150.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,140.0,170.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,160.0,190.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,180.0,210.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,200.0,230.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,220.0,250.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,240.0,270.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,260.0,290.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,280.0,310.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,300.0,330.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,320.0,350.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,340.0,370.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,360.0,390.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,380.0,410.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,400.0,430.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,420.0,450.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,440.0,470.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,460.0,490.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,480.0,510.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,500.0,530.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,520.0,550.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,540.0,570.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,560.0,590.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,580.0,610.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,600.0,630.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,620.0,650.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,640.0,670.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,660.0,690.0,0.0,0.0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,680.0,710.0,0.0,0.0
