file,start_time,end_time,A NE Pacific,B NE Pacific
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,32040,32070,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,173040,173070,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,98460,98490,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,30380,30410,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,93880,93910,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,76800,76830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,145900,145930,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,87260,87290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,204940,204970,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,71100,71130,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,126180,126210,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,73740,73770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,198240,198270,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,169260,169290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,117700,117730,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,440,470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,165260,165290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,172240,172270,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,113920,113950,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,54740,54770,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,145240,145270,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,138920,138950,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,198080,198110,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,204480,204510,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,172940,172970,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,214000,214030,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,164400,164430,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,138440,138470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,170960,170990,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,148400,148430,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,181380,181410,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,117980,118010,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,76620,76650,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,224540,224570,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,169860,169890,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,153440,153470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,168060,168090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,110820,110850,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,213440,213470,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,130440,130470,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,48540,48570,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,151160,151190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,85740,85770,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,212060,212090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,98060,98090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,176180,176210,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,205920,205950,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,224640,224670,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,112500,112530,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,213780,213810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,109180,109210,1,0
